"Front";"Back";"Level";"ReviewCount";
"Who is responsible for choosing algorithms and training data in AI systems?";"Developers are responsible for choosing algorithms, architectures, and training data in AI systems.";"new";"0";
"What role do users play in AI systems according to the distribution of agency?";"Users decide whether and how to use the system, interpret outputs, verify results, and provide feedback.";"new";"0";
"What are some responsibilities of regulators and society in AI systems?";"They set requirements and standards, enforce rules, allocate liability, and shape incentives for AI systems.";"new";"0";
"Who is responsible for the actions of an AI system?";"Humans who designed, chose the data for, defined the objective of, deployed, and continue to use the AI system are responsible.";"new";"0";
"What is a common misconception about AI decisions?";"People often say 'The AI decided' or 'The system flagged,' but in reality, humans made the decisions about the system's design and operation.";"new";"0";
"What is a consequence of blaming AI for errors instead of human responsibility?";"Responsibility disappears, leading to harm occurring without accountability because no one is held responsible for the AI's actions.";"new";"0";
"What is the 'Many Hands Problem'?";"It occurs when everyone is partially responsible, leading to no one accepting full responsibility and often resulting in people pointing to others.";"new";"0";
"What does the 'Computer Says No' phenomenon refer to?";"It refers to decisions being attributed to the system rather than human judgment, creating psychological distance from the outcomes.";"new";"0";
"Why do systems become difficult to explain, according to the text?";"They become too complex or are seen as 'black boxes,' which makes it hard to understand how they work and shields accountability.";"new";"0";
"Why do humans tend to attribute agency to AI systems?";"Humans attribute agency to AI systems when they exhibit characteristics like language fluency, human-like responses, or opacity, even if the systems lack real understanding or consciousness.";"new";"0";
"What design features in AI encourage us to treat it as an agent with mental states?";"Features such as having a name, using first-person language, avatars, and human-like responses are intentionally designed to make AI seem like it has mental states.";"new";"0";
"How does opacity in AI systems influence our perception of agency?";"When we cannot understand how an AI system works, we tend to fill the gap by attributing it agency, believing that decisions are made intentionally by the AI.";"new";"0";
"What was ELIZA?";"ELIZA was a simple chatbot created to simulate a psychotherapist using pattern matching and scripted responses.";"new";"0";
"How did ELIZA respond to user input?";"ELIZA used basic keyword detection and pre-written response templates to generate replies without understanding the conversation.";"new";"0";
"Why did users attribute understanding and empathy to ELIZA?";"Because of its surface-level linguistic skills, users believed ELIZA had deep understanding and care, even when told it was just a program.";"new";"0";
"What is instrumental agency in AI?";"Instrumental agency in AI refers to acting as if it has purposes, appearing goal-directed, optimizing objectives, and producing coherent outputs.";"new";"0";
"What is genuine agency?";"Genuine agency involves actually having purposes, with self-determined goals, consciousness, understanding of stakes, and moral responsibility.";"new";"0";
"Does AI currently have genuine agency?";"No, AI systems currently lack genuine agency; they have instrumental agency but do not possess self-determined goals or consciousness.";"new";"0";
"What can companies purchase instead of hiring humans for cognitive tasks?";"Companies can purchase cognitive capabilities like writing, analysis, coding, and translation through API calls instead of hiring humans.";"new";"0";
"What does the democratization of AI mean?";"It means that anyone with internet access can use sophisticated AI tools, making these capabilities widely available.";"new";"0";
"How does the cost of cognitive work change with AI, and what effect does this have?";"The marginal cost of cognitive work approaches zero, allowing one AI model to serve millions and creating winner-take-all dynamics and new inequalities.";"new";"0";
"What was the main change during the First Industrial Revolution?";"Physical labor became available as a commodity through steam engines, machines, and factories, allowing people to buy muscle power.";"new";"0";
"How did the Second Industrial Revolution differ from the first?";"It involved the availability of cognitive labor as a commodity, with advancements in AI and automation replacing knowledge work.";"new";"0";
"Who currently accumulates wealth during each industrial revolution?";"During the first, factory and machine owners; during the second, owners of AI platforms and compute resources.";"new";"0";
"What are examples of routine cognitive work that are most vulnerable to AI automation?";"Examples include data entry, basic coding, document summarization, translation, customer service scripts, basic legal research, and initial medical diagnoses.";"new";"0";
"Why is physical and social work more protected from AI automation?";"Because it requires physical presence, human connection, trust, or real-world manipulation that AI cannot yet replicate.";"new";"0";
"What distinguishes augmented knowledge work from routine cognitive work in terms of AI assistance?";"Augmented knowledge work involves AI assisting with tasks like scientific research and strategic planning, but human judgment, creativity, and understanding remain essential.";"new";"0";
"What does AI tend to do to existing power dynamics?";"AI amplifies existing power dynamics, giving disproportionate advantages to those with resources.";"new";"0";
"Why are only a few companies able to train frontier AI models?";"Training frontier models requires billions of dollars in investment, which only a few companies can afford.";"new";"0";
"How do network effects influence AI development and user growth?";"More users generate more data, leading to better models and attracting even more users, creating a winner-take-most situation.";"new";"0";
"What is a common misconception about AI's impact on knowledge workers?";"Many believe AI will replace all knowledge workers and make human intelligence obsolete, but in reality, some tasks are automated while others still require human judgment.";"new";"0";
"Why will people continue to think, learn, and create despite AI advancements?";"Because using our intelligence is intrinsically valuable, similar to how people still run marathons or do crafts by hand despite machines being stronger.";"new";"0";
"What is the main focus when working with AI according to the text?";"The focus is on how humans will work with AI, combining automation with human judgment rather than being replaced by it.";"new";"0";
"Why do people still play sports and exercise even though machines are stronger?";"People play sports and exercise for enjoyment, health, challenge, and to find meaning in using their bodies.";"new";"0";
"What is a reason people prefer to think and solve problems themselves instead of using AI?";"People value the satisfaction and meaning they get from using their minds, even though AI can do these tasks faster.";"new";"0";
"What is the main idea of the sports and cognitive activity analogy?";"It shows that humans choose to engage in activities for personal fulfillment and enjoyment, regardless of machines or AI being more powerful or faster.";"new";"0";hallucinating
